"","cencosud","bci","copec","colbun","cmpc","conchatoro","ccu","sqm-b","tang_port_d"
"delta",0.00265971599248437,-0.0157254971544778,0.0334351240309157,-0.0379429792630426,0.0229297502763968,-0.0188854777199096,0.0483774124468922,0.098800356212771,-0.00691285012648014
"delta",0.0172422939757521,0.0509277299911377,0.0274385647391139,0.0318944844167729,0.0316961736005435,0.0400151716224985,0.0494040963201915,-0.0268414779359697,0.0395231142607053
"delta",0.0575779701694333,0.0641001558231829,0.0524137931102018,0.135719265532152,0.114171048950713,0.0261057152088468,0.0809283106118933,0.109151479505511,0.110930433877372
"delta",-0.0624815070304998,0.0201895003632674,0.040838236530735,0.00736648256711301,-0.0329772698882346,-0.0381495676100711,0.0461978964453061,0.0437279151667407,-0.0187227079995575
"delta",-0.0295738637658108,0.0163071357174561,0.0381660485158955,0.0406484645887119,0.0267573341213176,-0.00977966334697405,0.0293189939197513,0.0328155314630489,0.0340022887827611
"delta",-0.0290214218574571,-0.014478123437551,-0.0555541079398388,-0.0578725089551077,-0.00676056335919846,-0.0245247148261804,-0.0155140440628989,-0.0821568091302927,-0.0192708775319014
"delta",0.0496256805666713,0.0660682516724199,0.0919851013929659,0.0601667017373116,0.0305665847259468,0.0205612940876165,-0.00511118256842161,0.212323479992333,0.0258562117501971
"delta",0.0208029394568781,0.0304685326887844,0.0134541044515801,0.000198202931275168,0.00311888452681552,0.0175689869186575,-0.010967570624663,0.0999662909008894,0.00129455866981462
"delta",0.0356764768263005,-0.00674780388635401,0.04462560612685,0.0221943325452654,0.0271291836589616,0.00149176086844123,0.00584808974092755,0.218820119536637,0.0121396515479701
"delta",-0.026321169404268,0.057313668804131,0.170375762199676,-0.029079160007531,0.204356600182192,0.0544326408005554,0.065846582325742,0.0705454955366444,0.145929242827027
"delta",-0.167445278485888,-0.0841577576969263,-0.114354462127768,-0.123594009910028,-0.0947217978020818,0.0061519258178309,-0.106909542264331,-0.0794444152298147,-0.0435553948725455
"delta",0.145514154240389,0.103601279533361,0.126226489142102,0.0910526971743936,0.138439762631602,0.0351397918365861,0.124961901866303,0.0530124158873772,0.0839782873816815
"delta",0.0365457647581161,0.0759700794804988,0.0775453908822945,0.0574761399337936,0.14202371844467,0.153958440665664,-0.0337537537529612,-0.0742311480706615,0.155951450301202
"delta",-0.039558222254005,-0.0371062350538924,-0.0818989397015461,-0.0335606364460881,-0.0388158445860413,-0.0464320262014388,-0.0520207043160478,-0.109117777460524,-0.0362350600217841
"delta",0.0216718266145595,0.0347062941197438,-0.0136709808973687,0.00103763142392542,0.00165541276064477,0.021716723583754,0.0592506050222815,-0.0247486978717763,0.0039815937079738
"delta",-0.0141233765911461,0.0341971919080692,0.0562013459733342,0.0546610462507752,0.0878963162584652,0.0360753675953731,-0.0324080773096086,0.142667619168211,0.0914682086387558
"delta",-0.0685044123837597,-0.04103084326329,-0.0290756025479106,-0.0199087086894231,-0.0378490868812688,0.00679559519341335,-0.0535857324706192,-0.00613703636926397,-0.0070697905322604
"delta",-0.0377674196529906,-0.0215169930280884,0.0431135611012653,-0.0515036537412453,0.00573221757590342,-0.0087478686563523,0.0176244352385677,-0.0444390406896003,-0.00802282893896618
"delta",0.085020494374631,0.013502323230461,0.0186106687943653,0.0542262389556115,0.0734700669900628,0.0284197143089679,0.0607517215230566,-0.0200718898255552,0.0515762093319385
"delta",-0.0763551027548159,-0.00430344528163346,0.0154372251455883,0.00787014264620743,0.0397240631144725,-0.0338157224796339,0.0342457855846269,-0.0435304810673988,0.0394408371895633
"delta",-0.0309227241670239,0.02457223131346,-0.0222264985499839,-0.00997002019184147,-0.00554149166366122,-0.00568462313327212,0.0222083481962052,0.0370071198336218,0.00197443479846693
"delta",-0.0736027625399182,-0.0133553693121739,-0.0399724463704139,-0.0804225351968924,-0.102493596513094,-0.00531268974681373,-0.0563541575834585,-0.00466918340402994,-0.0734050469627325
"delta",-0.139504383179452,0.00258226691682572,-0.0703478956094196,0.0752029407097169,-0.0252234859542307,0.0399816877965137,0.0153719906124976,-0.00938217386275081,0.0695212895085944
"delta",0.00786138291356951,0.0276251909057482,-0.0715319672528685,0.0160812713907264,-0.0501593042306952,-0.0035596505155246,0.0148546971671039,-0.0765234974166719,-0.0273660760150328
"delta",0.0546004457175292,0.0367306199330882,0.0807175964830966,0.0691733639634044,0.081187446949389,0.00324819133824949,0.0158849537259206,0.0236220472471905,0.0567751405956413
"delta",-0.0784905660353673,-0.0406495368188622,-0.0111111111098466,0.0167785234524201,0.0379746835541351,0.0345842531205707,0.0403813797042608,-0.0250447226869132,0.0689814256320467
"delta",-0.0351351350999272,-0.0075635258277934,-0.0292247191025592,0.015181518159861,-0.0243902439085224,0.0107423373848813,0.0503611859797075,-0.0404036697396036,0.00500096691073128
"delta",0.0907393260258035,0.0365943361433053,-0.016192317045778,-0.0156046813511504,-0.0500833333148908,0.00599647266611755,-0.00204938770872672,-0.0764847603938362,-0.0636002065927918
"delta",0.0118965613094397,0.008958665950865,-0.121717223632443,-0.0565772396490034,-0.160655445726594,-0.00124572359274256,0.0256089743622727,-0.103612395624143,-0.123639122610126
"delta",0.0310077519448021,0.0274725274751281,0.0114165826542419,0.0486891385704492,-0.0132625994590062,0.0177304964344784,-0.00518766210779039,-0.0066387206842795,0.00289372375256903
"delta",0.0451127820032812,-0.0113595932618643,-0.129849137932423,-0.0557142857073789,-0.112365591433432,-0.0139372822297083,0.033518675579964,-0.0190023752519642,-0.104075157387516
"delta",-0.223021582752496,0.0259069694131422,0.00634674922967397,-0.0279878971022006,0.00847970930458503,-0.0126501766920401,-0.17021276595903,-0.138014527862166,0.0590570526777616
"delta",0.111111111132333,0.00927472526749106,0.0575296108288935,0.023424124468111,0.0230911481953077,0.0396069087030422,-0.00548229547523324,0.139766998720709,-0.000115023485274978
"delta",-0.160833333354534,-0.100866686997892,-0.0354763636383092,-0.027070184765904,-0.0035377358109801,-0.0579710145075322,-0.0914905894399866,-0.0184354758218537,0.0189696200079288
"delta",0.0178748758673207,-0.12860256720029,-0.0348509297051292,-0.104337631888283,0.0325443787027901,0.0549450549102187,0.00136488331801842,-0.0304568527790185,0.00605633932308042
"delta",-0.0341463414676849,-0.0522512506969644,0.0546874999959434,0.0808309229180702,0.0544412607314811,-0.0142773205806513,0.00454128196337635,0.0633148561257279,0.0645963958385073
